ID,NameNoAuthors,LongitudeDecimal,LatitudeDecimal
341,Temnopteryx sericea,9.63333,0.76666
342,Cuviera pierrei,9.6666667,0.55
348,Renealmia cabrae,13.33333,0.33333
354,Phragmanthera longiflora,11.5,-0.41666
355,Globimetula cornutibracteata,10.41666,-2.33333
356,Octoknema dinklagei,9.9,3.5833333
361,Isolona zenkeri,10.36666,3.05
366,Neostenanthera robsonii,10.93333,0.21666
371,Anonidium floribundum,11.5,-0.41666
373,Hexalobus salicifolius,11.5,-0.41666
379,Neostenanthera robsonii,11.25,-1.6666667
392,Sherbournia ailarama,11.38333,-1.7
394,Corynanthe mayumbensis,11.5,-0.41666
395,Corynanthe mayumbensis,11.5,-0.41666
399,Baphia polyantha,11.6666667,-0.25
400,Hugonia gabunensis,11.66666,-0.25
401,Dacryodes buettneri,11.66666,-0.25
402,Oddoniodendron normandii,12.33333,0.43333
403,Julbernardia brieyi,12.36666,0.41666
404,Julbernardia brieyi,12.36666,0.41666
405,Dacryodes buettneri,12.36666,0.41666
406,Oddoniodendron micranthum,12.26666,0.46666
407,Oddoniodendron micranthum,12.26666,0.46666
408,Augouardia letestui,11.36666,-0.23333
410,Aphanocalyx pectinatus,11.6,-1.36666
411,Aphanocalyx pectinatus,11.6,-1.36666
412,Dacryodes igaganga,11.46666,1.88333
413,Bikinia media,11.46666,-1.88333
415,Cleistanthus ngounyensis,11.46666,-1.88333
416,Bikinia pellegrinii,11.46666,1.88333
417,Dacryodes camerunensis,13,1.5
419,Calpocalyx letestui,11.88333,-0.56666
585,Begonia scutulum,10.35,0.61666
587,Begonia susaniae,10.35,0.61666
588,Begonia clypeifolia,10.35,0.61666
589,Begonia susaniae,10.35,0.61666
590,Tetrorchidium gabonense,10.35,0.61666
591,Tetrorchidium gabonense,10.35,0.61666
592,Psorospermum membranaceum,10.35,0.6166667
593,Maesobotrya oligantha,10.35,0.61666
732,Tapura arachnoidea,13,-0.66666
733,Dichapetalum witianum,12.9167,-1.06667
734,Dichapetalum potamophilum,13.1,1.11667
420,Julbernardia brieyi,11.9,-0.71666
423,Monanthotaxis paniculata,11.9166667,0.4166667
424,Anonidium floribundum,11.88333,-0.2
425,Isolona zenkeri,9.48333,0.416667
427,Duguetia dilabens,11.38333,-1.7
431,Pogonophora letouzeyi,11.4666667,-1.95
432,Hunteria ballayi,16.11666,2.7
